#id,title,year,genres
748,The Arrival,1996,Action|Sci-Fi|Thriller
109687,Particle Fever,2013,Documentary
116979,The Legend of Sarila,2013,Adventure|Animation|Children
117529,Jurassic World,2015,Action|Adventure|Drama|Sci-Fi|Thriller
122904,Deadpool,2016,Action|Adventure|Comedy|Sci-Fi
125916,Fifty Shades of Grey,2015,Drama|Romance
134130,The Martian,2015,Adventure|Drama|Sci-Fi
136020,Spectre,2015,Action|Adventure|Crime
136562,Steve Jobs,2015,Drama
136864,Batman v Superman: Dawn of Justice,2016,Action|Adventure|Fantasy|Sci-Fi
139644,Sicario,2015,Crime|Drama|Mystery
141846,Steve Jobs: The Man in the Machine,2015,Documentary
142488,Spotlight,2015,Thriller
142492,Son of Saul,2015,Drama
143385,Bridge of Spies,2015,Drama|Thriller
163645,Hacksaw Ridge,2016,Drama|War
164179,Arrival,2016,Sci-Fi
164909,La La Land,2016,Comedy|Drama|Romance
166918,The Great Wall,2016,Action|Adventure|Thriller
175615,Almost Holy,2015,Documentary
200000,A Tenant,2020,Action|Sci-Fi
200001,Mulan,2020,Action|Adventure|Children
200002,Weathering With You,2020,Animation|Drama|Children